"morning fog","late train arrivals","Despite forecasts of clear skies, the city woke to a dense <e1>morning fog</e1> that covered the streets and parks. Commuters checking arrival boards noticed an unusual number of <e2>late train arrivals</e2> throughout the morning rush. Many speculated that the visibility issues caused disruptions in the schedule. Yet, train officials cited unrelated maintenance on a distant part of the track. Still, the frequent co-occurrence of fog and delayed trains led some to draw connections.","false","Co-occurrence, No Mechanism"
"construction cranes","rising apartment prices","Over the past year, the skyline has become dotted with <e1>construction cranes</e1> as new buildings are being planned. At the same time, residents have grown concerned about <e2>rising apartment prices</e2> across several neighborhoods. Local news stories often mention both in the same breath. Observers might assume that the visible building activity is pushing up rents, although the causes are rooted elsewhere. Yet, the parallel trends invite speculation about causality.","false","Co-occurrence, No Mechanism"
"bookstore openings","increase in college graduates","This year, the city center saw a surge in <e1>bookstore openings</e1>, with brightly lit shops lining the main avenues. Around the same time, statistics showed an <e2>increase in college graduates</e2> in the region. Commentators have mused that the growing educated population is fueling the literary market. However, industry insiders point to national investment policies influencing both trends independently. The frequent pairing of these two phenomena in public conversation is hard to ignore.","false","Co-occurrence, No Mechanism"
"street festivals","public transit breakdowns","Every summer, the city calendar is filled with <e1>street festivals</e1> celebrating music and food. Coincidentally, there is often a spike in <e2>public transit breakdowns</e2> during these weekends. Some festival-goers suggest the increased ridership strains the system, leading to trouble. Yet, analysis reveals that scheduled maintenance routinely takes place during these periods, unrelated to the events. The overlapping timing, though, has led many to link the two.","false","Co-occurrence, No Mechanism"
"ice cream sales","bicycle thefts","During the hottest months, a surge in <e1>ice cream sales</e1> can be observed in local neighborhoods. Almost at the same time, police reports show a noticeable uptick in <e2>bicycle thefts</e2> across the city. Some residents wonder if the influx of people at ice cream stands provides cover for thieves. Despite the speculation, law enforcement attributes thefts to other seasonal patterns. The data’s parallel movements, though, are intriguing to casual observers.","false","Co-occurrence, No Mechanism"
"new smartphone releases","restaurant wait times","Every autumn, the announcement of <e1>new smartphone releases</e1> draws massive crowds to electronics stores in the downtown area. Coinciding with these launches, people note longer <e2>restaurant wait times</e2> in nearby eateries. Many speculate that tech enthusiasts are flocking to restaurants while waiting for stores to open. However, restaurant owners point to a popular food festival held at the same time. Nevertheless, the overlap in timing raises suspicions of a linkage.","false","Co-occurrence, No Mechanism"
"garden blooms","increase in local art exhibits","Each spring, the city’s botanical gardens showcase vibrant <e1>garden blooms</e1> that attract thousands of visitors. Coincidentally, this is also the season for an <e2>increase in local art exhibits</e2> around the city. Some believe the inspiration of flowering gardens motivates artists and curators. Yet, organizers reveal that exhibit scheduling is based on grant cycles and availability, not the gardens’ flora. The synchronicity, however, is often interpreted as more than chance.","false","Co-occurrence, No Mechanism"
"outdoor yoga classes","increase in food truck presence","This year, there’s been a noticeable rise in <e1>outdoor yoga classes</e1> held at the city park. At the same time, regular park-goers report an <e2>increase in food truck presence</e2> during yoga hours. It's easy for some to suggest that the yoga participants are attracting more food vendors. However, city records show both are part of independently scheduled programs. Still, the overlapping times make it tempting to connect the two.","false","Co-occurrence, No Mechanism"
"art mural installations","reduction in vandalism reports","Several neighborhoods recently launched <e1>art mural installations</e1> on building walls. Around the same period, community leaders observed a subtle <e2>reduction in vandalism reports</e2>. It’s not uncommon to hear claims that public art deters crime through beautification. However, police attribute the drop to unrelated patrol schedule changes. The timing of both events, though, has convinced some of a direct influence.","false","Co-occurrence, No Mechanism"
"expanded bike lanes","drops in local air pollution","The city council has funded <e1>expanded bike lanes</e1> on several major streets this year. Coincidentally, environmental reports note <e2>drops in local air pollution</e2> shortly after the expansion. Many residents laud the bike lanes for improving air quality. Yet, environmental scientists attribute the improvement to favorable wind patterns and changes in industrial activity. The paired timing has made the relationship appear stronger than it really is.","false","Co-occurrence, No Mechanism"
